Year,Team,ParkF,League
2024,Hanshin Tigers,0.94,NPB
2024,Hiroshima Carp,1.02,NPB
2024,DeNA BayStars,1.04,NPB
2024,Yomiuri Giants,0.98,NPB
2024,Yakult Swallows,1.17,NPB
2024,Chunichi Dragons,0.86,NPB
2024,ORIX Buffaloes,0.96,NPB
2024,Lotte Marines,1.05,NPB
2024,SoftBank Hawks,1.04,NPB
2024,Rakuten Eagles,0.94,NPB
2024,Seibu Lions,0.98,NPB
2024,Nipponham Fighters,1.06,NPB
2024,Hanshin Tigers,1.06,Farm
2024,Hiroshima Carp,0.95,Farm
2024,DeNA BayStars,0.97,Farm
2024,Yomiuri Giants,0.94,Farm
2024,Yakult Swallows,1.04,Farm
2024,Chunichi Dragons,1.01,Farm
2024,ORIX Buffaloes,0.88,Farm
2024,Lotte Marines,1.10,Farm
2024,SoftBank Hawks,1.01,Farm
2024,Rakuten Eagles,0.98,Farm
2024,Seibu Lions,1.09,Farm
2024,Nipponham Fighters,1.10,Farm
2024,Oisix Albirex,0.81,Farm
2024,HAYATE Ventures,1.07,Farm
2023,Hanshin Tigers,0.99,NPB
2023,Hiroshima Carp,0.96,NPB
2023,DeNA BayStars,1.03,NPB
2023,Yomiuri Giants,1.02,NPB
2023,Yakult Swallows,1.13,NPB
2023,Chunichi Dragons,0.86,NPB
2023,ORIX Buffaloes,0.95,NPB
2023,Lotte Marines,1.08,NPB
2023,SoftBank Hawks,1.02,NPB
2023,Rakuten Eagles,0.95,NPB
2023,Seibu Lions,0.99,NPB
2023,Nipponham Fighters,0.97,NPB
2023,Hanshin Tigers,1.03,Farm
2023,Hiroshima Carp,0.94,Farm
2023,DeNA BayStars,0.95,Farm
2023,Yomiuri Giants,1.00,Farm
2023,Yakult Swallows,1.00,Farm
2023,Chunichi Dragons,1.03,Farm
2023,ORIX Buffaloes,0.89,Farm
2023,Lotte Marines,1.07,Farm
2023,SoftBank Hawks,1.02,Farm
2023,Rakuten Eagles,0.97,Farm
2023,Seibu Lions,1.10,Farm
2023,Nipponham Fighters,1.02,Farm
2022,Hanshin Tigers,0.96,NPB
2022,Hiroshima Carp,0.93,NPB
2022,DeNA BayStars,1.07,NPB
2022,Yomiuri Giants,1.05,NPB
2022,Yakult Swallows,1.11,NPB
2022,Chunichi Dragons,0.88,NPB
2022,ORIX Buffaloes,0.94,NPB
2022,Lotte Marines,1.08,NPB
2022,SoftBank Hawks,0.97,NPB
2022,Rakuten Eagles,1.02,NPB
2022,Seibu Lions,1.02,NPB
2022,Nipponham Fighters,0.97,NPB
2022,Hanshin Tigers,1.01,Farm
2022,Hiroshima Carp,0.97,Farm
2022,DeNA BayStars,0.92,Farm
2022,Yomiuri Giants,1.02,Farm
2022,Yakult Swallows,1.03,Farm
2022,Chunichi Dragons,1.09,Farm
2022,ORIX Buffaloes,0.91,Farm
2022,Lotte Marines,1.02,Farm
2022,SoftBank Hawks,1.03,Farm
2022,Rakuten Eagles,0.99,Farm
2022,Seibu Lions,1.02,Farm
2022,Nipponham Fighters,0.99,Farm
2021,Hanshin Tigers,0.95,NPB
2021,Hiroshima Carp,0.93,NPB
2021,DeNA BayStars,1.05,NPB
2021,Yomiuri Giants,1.09,NPB
2021,Yakult Swallows,1.09,NPB
2021,Chunichi Dragons,0.88,NPB
2021,ORIX Buffaloes,0.94,NPB
2021,Lotte Marines,1.05,NPB
2021,SoftBank Hawks,1.00,NPB
2021,Rakuten Eagles,0.96,NPB
2021,Seibu Lions,1.03,NPB
2021,Nipponham Fighters,0.97,NPB
2021,Hanshin Tigers,0.96,Farm
2021,Hiroshima Carp,0.96,Farm
2021,DeNA BayStars,0.91,Farm
2021,Yomiuri Giants,1.08,Farm
2021,Yakult Swallows,0.96,Farm
2021,Chunichi Dragons,1.17,Farm
2021,ORIX Buffaloes,0.95,Farm
2021,Lotte Marines,1.03,Farm
2021,SoftBank Hawks,1.02,Farm
2021,Rakuten Eagles,1.02,Farm
2021,Seibu Lions,1.01,Farm
2021,Nipponham Fighters,0.98,Farm
2020,Hanshin Tigers,0.88,NPB
2020,Hiroshima Carp,0.96,NPB
2020,DeNA BayStars,1.07,NPB
2020,Yomiuri Giants,1.05,NPB
2020,Yakult Swallows,1.15,NPB
2020,Chunichi Dragons,0.87,NPB
2020,ORIX Buffaloes,0.95,NPB
2020,Lotte Marines,0.97,NPB
2020,SoftBank Hawks,0.99,NPB
2020,Rakuten Eagles,1.00,NPB
2020,Seibu Lions,1.09,NPB
2020,Nipponham Fighters,0.94,NPB
2020,Hanshin Tigers,1.01,Farm
2020,Hiroshima Carp,0.98,Farm
2020,DeNA BayStars,0.96,Farm
2020,Yomiuri Giants,1.05,Farm
2020,Yakult Swallows,1.00,Farm
2020,Chunichi Dragons,1.30,Farm
2020,ORIX Buffaloes,0.93,Farm
2020,Lotte Marines,1.13,Farm
2020,SoftBank Hawks,0.95,Farm
2020,Rakuten Eagles,1.01,Farm
2020,Seibu Lions,0.99,Farm
2020,Nipponham Fighters,0.91,Farm