Team,Link
Hanshin Tigers,https://npb.jp/bis/eng/teams/index_t.html
Hiroshima Carp,https://npb.jp/bis/eng/teams/index_c.html
DeNA BayStars,https://npb.jp/bis/eng/teams/index_db.html
Yomiuri Giants,https://npb.jp/bis/eng/teams/index_g.html
Yakult Swallows,https://npb.jp/bis/eng/teams/index_s.html
Chunichi Dragons,https://npb.jp/bis/eng/teams/index_d.html
ORIX Buffaloes,https://npb.jp/bis/eng/teams/index_b.html
Lotte Marines,https://npb.jp/bis/eng/teams/index_m.html
SoftBank Hawks,https://npb.jp/bis/eng/teams/index_h.html
Rakuten Eagles,https://npb.jp/bis/eng/teams/index_e.html
Seibu Lions,https://npb.jp/bis/eng/teams/index_l.html
Nipponham Fighters,https://npb.jp/bis/eng/teams/index_f.html